Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d543803220c22989072591aed1de2f76c14f08c6f79b4a4c74ac163e7dd76b86,2016-10,Dorset Police,Dorset Police,,,No location,,,Offender given conditional discharge
6c03548c23fd8af3308d5a9b7094b81f32ee5f9d636a0c3dc2ca51b8f782ff71,2016-10,Dorset Police,Dorset Police,-2.161639,50.856614,On or near EAST STREET,E01020438,North Dorset 007D,Investigation complete; no suspect identified
8e20141d3901afa590f3eb7ec77f0acb9001f2aeb68f064f4db820e99b16e735,2016-10,Dorset Police,Dorset Police,-1.914572,50.766662,On or near ANSTEY ROAD,E01015302,Bournemouth 002A,Investigation complete; no suspect identified
7c9ccf0dd40001767bff95419d3d5000a2ca15ae4b7d6554d715e65e339e508e,2016-10,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
0201ca16362ec787f68c65dfe247d531d76fdbacf962ae9f8292b9a8d04efd5e,2016-10,Dorset Police,Dorset Police,-1.870593,50.722809,On or near LORNE PARK ROAD,E01015285,Bournemouth 021A,Investigation complete; no suspect identified
80bc1b258f757eee3f72d9837c02b357c8574acddb5eea94213b0398981b25eb,2016-10,Dorset Police,Dorset Police,-1.817645,50.735724,On or near HAMBLEDON ROAD,E01015314,Bournemouth 011A,Investigation complete; no suspect identified
4617c1f11a3ebbfcfc0b422a554c523852c2ff26d016511bfd9a75c6c29dec79,2016-10,Dorset Police,Dorset Police,-1.879752,50.719977,On or near GERVIS PLACE,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
fe608d48c5d90597f1e7d9c722483f946540c70e61436e2555102afc1874f5b0,2016-10,Dorset Police,Dorset Police,-1.982397,50.718275,On or near Shopping Area,E01032659,Poole 015F,Investigation complete; no suspect identified
342548b13d8c29bc58431b9e06836d16da1e4ac1aceda0d1cbb91836b0b0169d,2016-10,Dorset Police,Dorset Police,-2.416178,50.647983,On or near SUTTON PARK,E01020558,Weymouth and Portland 002B,Investigation complete; no suspect identified
a8a5b5f947d6484fde436ceb018aeb3a9bee63755132952a9e8889494210c324,2016-10,Dorset Police,Dorset Police,-1.849221,50.730095,On or near AUSTIN CLOSE,E01015293,Bournemouth 015B,Investigation complete; no suspect identified
37a3c2d0d9910e09e115f209e9b2f5364c1d5d1b6337644cbd94fa1a085b797c,2016-10,Dorset Police,Dorset Police,-2.484875,50.823416,On or near Park/Open Space,E01020509,West Dorset 004A,Investigation complete; no suspect identified
3ae4de565002dde3d7683f86d2f527114eea6727559fa1af83f50d5b50ab92ec,2016-10,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
3107bd29511f9e41672a5ab4b877674aa47ef444dd7995aac24f7c04b0263ab8,2016-10,Dorset Police,Dorset Police,-1.873669,50.722309,On or near Nightclub,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
e698ef1b8e7bda22c632e629ebac58e685756046f74bbb57e6d1a40e47c46d78,2016-10,Dorset Police,Dorset Police,-2.455078,50.611776,On or near WESTHAM ROAD,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
4bad4c4cacd4221dc5ac4506706667ce052a565ca30c7bb9db9b01c1039abd56,2016-10,Dorset Police,Dorset Police,-1.811564,50.725723,On or near CARBERY LANE,E01015365,Bournemouth 018D,Investigation complete; no suspect identified
91bcb00a0bb5010dd871dd1e295987105f4e40bb62fc9a9ed0c30bc4a77b040d,2016-10,Dorset Police,Dorset Police,-1.722222,50.750077,On or near FOREST RISE,E01020371,Christchurch 004C,Investigation complete; no suspect identified
67e5e51115654883358f10ac54b6525d2dc651dc58ab9a12fa0467b1ef9af094,2016-10,Dorset Police,Dorset Police,-1.874138,50.721824,On or near FIR VALE ROAD,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
459e43ada97aa3807ab699e6520b6ef979226377a20f785495cd0004eeb50631,2016-10,Dorset Police,Dorset Police,-1.983064,50.715586,On or near GLOBE LANE,E01032660,Poole 015G,Investigation complete; no suspect identified
0232adc9ffa1532e8b7fabd2e4afbd1754e213dc5611ddc771ea1d36c2b6b6d9,2016-10,Dorset Police,Dorset Police,-1.972097,50.794045,On or near CHURCHILL ROAD,E01020429,East Dorset 010D,Investigation complete; no suspect identified
417e32b75c12b1e36b40f566d1a97990fa9540f4d82ef13f12cdbab06222ea11,2016-10,Dorset Police,Dorset Police,-1.829126,50.723439,On or near PENRITH ROAD,E01015272,Bournemouth 016A,Investigation complete; no suspect identified
7e417bff944bede7c9bd17d8fe911bf50f6c9b252553aaa96fb934e2cec019cd,2016-10,Dorset Police,Dorset Police,-1.916927,50.757590,On or near MACLEAN ROAD,E01015307,Bournemouth 005A,Investigation complete; no suspect identified
cc59128056b9b643a40c3644b34d99318bbebb53241dd9516af7e9e662f2bc93,2016-10,Dorset Police,Dorset Police,-1.880360,50.753853,On or near DELHI ROAD,E01015323,Bournemouth 006B,Investigation complete; no suspect identified
2fc611db27d54a000fe57963d1a5196e84cb7c9324944ac80131a7851a1a092a,2016-10,Dorset Police,Dorset Police,-2.454849,50.612955,On or near GLOUCESTER STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
9c6e5ae4ad300fa5631529987c58ef1fc4bbc49ff10a4238bbe062d905a4e6c4,2016-10,Dorset Police,Dorset Police,-1.924576,50.920836,On or near SALISBURY STREET,E01020389,East Dorset 001C,Investigation complete; no suspect identified
9f2383a030a899e9220002dcc5ee8c19aef495d119d932173d9e30bdcf055ed3,2016-10,Dorset Police,Dorset Police,-1.880051,50.752864,On or near COMLEY ROAD,E01015323,Bournemouth 006B,Investigation complete; no suspect identified
7ec8210ac45274781a810564e983f2b00bf87ff1e4ea511f27fadf7b03a9adb2,2016-10,Dorset Police,Dorset Police,-1.880360,50.753853,On or near DELHI ROAD,E01015323,Bournemouth 006B,Investigation complete; no suspect identified
e2be23a624ab25152b93c1b77b1ea11dced0a7597feb14aa1785420db138f6f4,2016-10,Dorset Police,Dorset Police,-1.820771,50.733526,On or near LASCELLES ROAD,E01015318,Bournemouth 011C,Investigation complete; no suspect identified
ab16e47502e56418b333313cf72833aec736986f51a0043fb64c8d9f5180ad5f,2016-10,Dorset Police,Dorset Police,-1.799743,50.733500,On or near PADFIELD CLOSE,E01015362,Bournemouth 014D,Investigation complete; no suspect identified
7b88b6dbf74a4a7ecf00f15579171d72e51adc5c17741c9be04fd3e27fa979fd,2016-10,Dorset Police,Dorset Police,-1.870865,50.721766,On or near WOOTTON GARDENS,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
37882a4ff301f6c4ef7b22de3d078760339dd2b49d6352d362264eaa39b085c0,2016-10,Dorset Police,Dorset Police,-2.484875,50.823416,On or near Park/Open Space,E01020509,West Dorset 004A,Investigation complete; no suspect identified
