Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
14838ebf3214c8e4c25b8b8a2e28283091776431bfa96b34bfe6926b36d5192e,2016-10,Humberside Police,Humberside Police,-0.204465,54.073591,On or near KINGSTON CLOSE,E01012950,East Riding of Yorkshire 006A,Investigation complete; no suspect identified
ccfd78ed33a8589e20e02aace67296cc6030342dafe6bebf89e1912fc5e651cf,2016-10,Humberside Police,Humberside Police,-0.821736,53.930217,On or near BROOKSIDE CLOSE,E01013058,East Riding of Yorkshire 011F,Investigation complete; no suspect identified
caa37bc1c52c50d3af10b81cca55804b2f327e1f335da7fb8e1bf3e8c8d67cb2,2016-10,Humberside Police,Humberside Police,-0.375049,53.742681,On or near SANDRINGHAM STREET,E01012864,Kingston upon Hull 027D,Investigation complete; no suspect identified
86d753eb3bc92846d883d3ad5c5f7b2a854c78b726520b806c87b285473b5898,2016-10,Humberside Police,Humberside Police,-0.402666,53.742189,On or near PARK LANE EAST,E01012777,Kingston upon Hull 028E,Investigation complete; no suspect identified
1b8adf9da1b2b6aae6b5b6884de1961a155b009b68f3ea419483839205910801,2016-10,Humberside Police,Humberside Police,-0.323150,53.791245,On or near Pedestrian Subway,E01012788,Kingston upon Hull 002E,Investigation complete; no suspect identified
ea14dc1a6c63f45ac8cb1862973e6bff2fd832e76cf7e97ce30a0b1ba4f5292b,2016-10,Humberside Police,Humberside Police,-0.358954,53.742057,On or near REGENT CLOSE,E01012855,Kingston upon Hull 029D,Investigation complete; no suspect identified
242a435d9b0b8fa7a3c79e5dfe1ac452430192595c7d87178fa8864155f18de3,2016-10,Humberside Police,Humberside Police,-0.678550,53.556153,On or near SOUTH PARK ROAD,E01013264,North Lincolnshire 019B,Investigation complete; no suspect identified
80da5d0d3b8c8eb4a868fc03360f83b778ca355f2353e95cf20866c498e66406,2016-10,Humberside Police,Humberside Police,-0.349148,53.754327,On or near HUDSON STREET,E01012857,Kingston upon Hull 024D,Investigation complete; no suspect identified
c24e87c4a16e6f1ff104fa30e928de5e10cd6f46a7f5cd6938c765ae80dda9a3,2016-10,Humberside Police,Humberside Police,-0.037385,53.549938,On or near NEWSTEAD ROAD,E01013134,North East Lincolnshire 014D,Investigation complete; no suspect identified
46e80ef55bab5050ca26b0d7b17ae779edae5b587dc2417263bda3f98f073df8,2016-10,Humberside Police,Humberside Police,-0.369839,53.753882,On or near RENFREW STREET,E01012756,Kingston upon Hull 025A,Investigation complete; no suspect identified
75d0dae5d3a66875b6e585f1d079be59519621d5f2d465e04bf42137ffe12097,2016-10,Humberside Police,Humberside Police,-0.037425,53.551027,On or near SANDRINGHAM ROAD,E01013134,North East Lincolnshire 014D,Investigation complete; no suspect identified
a2839212edc0b776c76d044d9f4d9844aa8daa268453712a49eb59d6b526c6c1,2016-10,Humberside Police,Humberside Police,-0.492810,53.551313,On or near Parking Area,E01013272,North Lincolnshire 011E,Investigation complete; no suspect identified
d24c76cfa0f5652c36a79fcd957e40fa83803ddd28d7c286e14258726e5f027a,2016-10,Humberside Police,Humberside Police,-0.595161,53.653983,On or near KING STREET,E01013292,North Lincolnshire 003C,Investigation complete; no suspect identified
8aad0e79987f03152e2f320197a9a7358b6dc1285eb171c1b70f3473259e6efb,2016-10,Humberside Police,Humberside Police,-0.653615,53.590734,On or near Nightclub,E01013330,North Lincolnshire 008D,Investigation complete; no suspect identified
64185feef40be46cacf96fb601ba2d3196688f089fd3e2304bcb6fcf767e3479,2016-10,Humberside Police,Humberside Police,-0.270904,53.775544,On or near HEBDEN AVENUE,E01012834,Kingston upon Hull 010C,Investigation complete; no suspect identified
ee7cae2a9c3128dd6966194554e9e89831c8371bd55602254aaf27875041475f,2016-10,Humberside Police,Humberside Police,-0.925529,53.707092,On or near RAWCLIFFE ROAD,E01013074,East Riding of Yorkshire 040E,Investigation complete; no suspect identified
27878d5e863e5fc08fca645ef7d035b231ab3106cf812f5cbd8cfcbe850810a3,2016-10,Humberside Police,Humberside Police,-0.037385,53.549938,On or near NEWSTEAD ROAD,E01013134,North East Lincolnshire 014D,Investigation complete; no suspect identified
dce9da3470ab531608b7b6234176f574e3641f5a25aa2c3a3a530ea6087f4437,2016-10,Humberside Police,Humberside Police,-0.357806,53.759058,On or near AVENUES COURT,E01012763,Kingston upon Hull 018C,Investigation complete; no suspect identified
6bd0dac8754b8459c9c69d988844f053ac9060e2efacc352e6dcae428e191cf1,2016-10,Humberside Police,Humberside Police,-0.034613,53.551133,On or near BLENHEIM PLACE,E01013132,North East Lincolnshire 014B,Investigation complete; no suspect identified
716c3963a0a1da83ee37b5470f43c575a7a90b967ab0aead4e972f418669161b,2016-10,Humberside Police,Humberside Police,-0.869800,53.704530,On or near STANLEY STREET,E01013000,East Riding of Yorkshire 041C,Investigation complete; no suspect identified
b68818185bd989b179ba8683a6463220cad2c9413752512e46de92f772e7547e,2016-10,Humberside Police,Humberside Police,-0.331001,53.742992,On or near HIGH STREET,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
