Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0b34867b9d47f946934bba6ee13f6ac9745b59ed1f6da6cd41840fdfbc3dcbd4,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.440919,52.087748,On or near WRATTING ROAD,E01030112,St Edmundsbury 012D,Investigation complete; no suspect identified
c4a900249165529668dba296be83af950e9c69144acba132a52db651627b593c,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.141924,52.060874,On or near WILBERFORCE STREET,E01030024,Ipswich 006C,Investigation complete; no suspect identified
8ea4ec2b06dd6de255a6c9e8f5fe8ace3e92756f944ac178a8d8eb8ba3a675d8,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.207744,52.043765,On or near SALEHURST ROAD,E01030206,Suffolk Coastal 011E,Investigation complete; no suspect identified
d90f4732ffd94cc9ff422e7b8f0adcabbc4d60c142b679d92061c3492e158220,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.724201,52.077249,On or near RAILE WALK,E01029900,Babergh 003A,Investigation complete; no suspect identified
4cb417a901acd0bcb3af51600b4b2fcee038a4f89fc519388dabf69301288d8d,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.335767,51.970537,On or near MAIDSTONE ROAD,E01030161,Suffolk Coastal 014B,Investigation complete; no suspect identified
890da36accd965fde022e214e2b44932fbe79d8c649ca6b54567ca08a92520c5,2016-10,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
09c85e8d7a8d5ca910d29fdbff827ff6e28324b1371cd35f17c07702bbd23735,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.752408,52.478119,On or near REGENT ROAD,E01030249,Waveney 004C,Investigation complete; no suspect identified
968dc06db736af93526b608042a384041cdb20ccccc9d232f3dc778cd41988cf,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.745060,52.507262,On or near Park/Open Space,E01030241,Waveney 001B,Investigation complete; no suspect identified
09fb381040e7be1c006dbe9cc86748d7c8a813b4f2c617893af81db1e4847cc8,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.598092,52.450089,On or near ALL SAINTS GREEN,E01030293,Waveney 011D,Investigation complete; no suspect identified
ad3c05b1120580357a655bf816fd4eb45ff14267c8d019693939887521c0cfeb,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.739115,52.458104,On or near PAKEFIELD ROAD,E01030276,Waveney 007E,Investigation complete; no suspect identified
bed0e19fb1115b619cf8661001cc343855573946ad4ebbd30c650b91a7406a5e,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.111336,52.065212,On or near FARTHING ROAD,E01029878,Babergh 005B,Investigation complete; no suspect identified
a359a19dd00d197894f9558a32d2db6e983d0fd851ae5ca7913ef82db0a42034,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.255346,52.061517,On or near NEWMAN DRIVE,E01033442,Suffolk Coastal 010G,Investigation complete; no suspect identified
